"","pprice","pdescrip"
"11"," $750.00 USD","
                            This is a beautiful Dog painting, signed and dated 1900. 116 years old. The painting is on canvas and framed.The painting has 2 old repaired damage and could use a cleaning.  See photos.. You may want to restore this as it is definitely not a Sunday painter. This is a professionally done antique oil painting and done very well, also framed. I've priced it accordingly and will not reduce the price.  shipping will included insurance.A very good size original signed and dated work.20 1/2 X 24 1/2 inches approx total size including oak frame.Painting is 19 x 22.            
        "
"12"," $560.00 USD","
                            Original Painting by Maria SaPainting created with acrylic and mixed mediaColours:Turquoise,brown,blue,white,blackSize: 72"" by 24 ""by 1""This painting is made to order.Once you purchase i will start creating your painting immediately and it will be ready in 10 to 12 working days,once completed images will be sent for approval.Your painting will look as close to the original as possible.words can be changed:)FREE SHIPPING - US,CANADA AND EUROPE!This painting was created on museum quality gallery wrapped canvas. Canvas stretched around wood frames and stapled on the back. Edges are painted in black. Final coat of varnish has been applied for protection.If you would prefer these painting in a different size or colour not a problem!The painting is original and signed by me on the back . Painting will be delivered ready to hang!More of my paintings can be found here:http://www.etsy.com/shop/isitfine?In order to protect your painting I will pack your painting with great care using quality shipping packing materials designed for art safe delivery.Transit time will take about 3 to 14 business days to most locations.Thank you,            
        "
"13","240.00","
                            Abstract Painting, Green, Blue, Red, Extra large, CUSTOM.This painting is SOLDYour painting will be created very similar in the same style, color and size.After your order,I'll start creating your painting within 2-3 days.I will finish within 8-10 days.Then I'll send you a picture of the painting for your acceptance. You can cancel the order and get a refund at any time.Dimensions: 114 x 195cm (45x77 inches) _ _ Prices $ 690                      60x120cm (24x47 inches) _ _ Prices $ 370                       50x100cm (20x39 inches) _ _ Prices $ 240Medium: Acrylic, OilSupport: CanvasSIZE 195x114cm __ / __ inches 76,7x44,9 be delivered NON stretched in frameless roll in plastic tube.You can easily find a local framing shop for it stretches or frames your painting.Other sizes are delivered with stretched chassis.All my paintings are shipped by express delivery in 3 to 5 days and you are delivered by hand.I ship worldwide.For missing destinations please contact me.My paintings are in private collections and in companies in Europe, Russia and North America.Currently my paintings are exhibited in various office buildings, places of business, spas, hotels, law firms and private residences.Thank you for your interest in my artistic work.To see other A.Mour Creations: https://www.etsy.com/shop/AMOUR63?ref=hdr_shop_menu            
        "
"14","25.00","
                            Set of 2 art prints. Thyme Watercolor Paintings. Botanical Artwork Wall Decor. Green Leaves Minimalist Painting. Floral Illustration Kitchen Decor.The price is for a set of 2 watercolor Thyme paintings as shown on the first photo.Type of paper:Prints up to (42x29,7cm) 11x16 inch size are printed on Archival Acid Free 270g/m2 White Watercolor Fine Art Paper and retains the look of original painting.Larger prints are printed on 200g/m2 White Semi-Glossy Poster Paper.Colors:Archival high-quality 10-cartridge Canon Lucia Pigment Inks with a droplet size of 4.0pl and chroma optimizer for long lasting true color prints.Please note that the frames here are not included in the sale, it’s for illustrative purposes only.Prints in my shop are unique handmade items. I paint all the paintings myself. You receive one-of-a-kind high quality giclee fine art prints of my archival drawings.Watercolor silhouettes:https://www.etsy.com/shop/SilhouetownWatercolor paintings:https://www.etsy.com/shop/ColorWatercolorWatercolor Blog:http://watercolor-paintings-gallery.com/            
        "
"15","89.00","
                            Thank you for looking my prints***Special offer - two prints buy and one print free***please send me a link for your 3 print in all sizes , so i will send all togetherSIZES:Fine Art Paper AND Canvas20"" x 20"" fine art paper 250g30"" x 30"" fine art paper 250 g32"" x32""    fine art paper 250 g32""x32"" canvas streched ready to hang36"" x36"" canvas stretched ready to hang40""x40"" canvas stretch ready to hangin any Canvas prints i give you a large print for free,please tell me what you like :) after your buy.The Fine Art Paper has a flat, matt finish and is signed, titled und numbered by me.Canvas has a flat, matt finish and is signed, titled and numbered by me.* Please contact me for option prints with 2 white inch border *If you like you can also look in my Shop for Original Paintingshttps://www.etsy.com/shop/jolinaanthony?ref=hdr_shop_menuI sell many years on Etsy with many Happy Costumers :)in high quality* Paper: Premium acid-free archival quality paper.* This listing is for the prints only. Frames & Mats NOT included.* Illustration size: please pull down menuMATERIAL: Hahnemühl 250 g/ Paper Fine Art PaperHand signed on the front and back with stamp on back by meplease selectprint with Epson K3 Ultra Crome high quality printer and archival inks.signed and dated by me on the front and backand with a little surprise for youshippingtime for this print is only 3-5 dayswith dhl expressmore prints and sets can be found here:https://www.etsy.com/de/shop/JOLINASPRINTS?section_id=18479189&ref=shopsection_leftnav_3GICLEE print, WHITE blue abstract painting , wall art, jolina anthony            
        "
"16","57.96","
                            ***PROMOTION***NEW SOCIAL MEDIA FOLLOWERS GET 5% OFF THEIR PURCHASE! Follow me on Instagram @halyardflags, Twitter @halyardflags, or Facebook facebook.com/halyardflags. Once you have, send me a message on Etsy to get your discount code! ***ITEM DESCRIPTION***Each one of Halyard’s flags are hand painted, distressed and stained on reclaimed wood creating one of a kind works of art. In this series of flags, half the flag is painted with one flag, the other half with a different flag. This Half USA Half Canada flag comes equipped to hang with hardware and wire installed on the back of the flag. Also on the back of the flag is the signature of the artist and year it was made indicating its originality. The sides of the flag are painted and sanded allowing for a clean, unframed look. Flags are finished with a weather proofing stain to allow for displaying outdoors.This Half USA Half Canada flag makes an amazing wedding present for an American and Canadian couple, a nice anniversary gift for your significant other or a beautiful present to welcome a dual citizen newborn to the world.EACH FLAG IS ORIGINAL! Your flag will look very similar to the one pictured, but not exactly the same. If you have any specific request for your flags please message me with those details and I will do my best to make them possible. This flag comes in three sizes:Large 80×40 cm (31.5×15.75 inches)Medium 60×30 cm (24×12 inches)Small 40×20 cm (15.75×8 inches) Or a custom size of your choosing!***PRODUCTION TIME***If the item is in stock, it will be in the mail within 2 business days of your purchase. If the item is out of stock or you have custom requests production time is at least 3 weeks currently. Should you wish to upgrade your production and shipping time, please follow this link https://www.etsy.com/ca/listing/241534664/rush-order-priority-shipping-upgrade?ref=shop_home_active_1***SHIPPING***All shipping is done through Canada Post. Shipping time depends on your location but if you are in North America it is usually around 2-6 business days. You may upgrade to priority shipping if you live in USA or Canada by following this link https://www.etsy.com/ca/listing/241534664/rush-order-priority-shipping-upgrade?ref=shop_home_active_1***RETURNS***We accept exchanges! Custom order sales are final. However, if you should be unhappy with your purchase, please message me so we can discuss how to make you happy!            
        "
"17"," $264.50 USD","
                            Aspen Tree Painting, Birch Tree Painting,FREE SHIPPING USMADE TO ORDERBeautiful Autumn Birch and Aspen Tree ForestOriginal contemporary modern abstract art by Susie Tiborcz Aspen Trees, and Birch Trees painting, Landscape painting Original modern abstract textured birch trees impasto landscape modern palette knife painting.Aspen trees. Christmas Gift. Wedding Gift.MADE TO ORDERTitle: Autumn Birch ForestBirch Tree Birch meanings include new beginnings and cleansing of the past Holiday GiftChristmas GiftWedding GiftHousewarming Giftfor New Businessfor Officesfor RestaurantsIt is can be symbolic of starting new life changingSize: 36"" x 24"" - 7/8"" solid pine stretcher barsPainted on Gallery back wrapped stretched canvas.The picture is coming without frameEdges painted in light blueMedium: acrylicDominant Colors: white, red, green, grey, blue, brown, yellow, orange, yellow ochreSigned and dated on the front and back by the artist.This painting was created with palette knife and brushes in my signature style.A finely coat of high quality varnish has been applied to protect the surface of this painting.This artwork is new and excellent condition.payment options:1) paypal 2) credit/debit card3) etsy gift cardDirectly from my Gallery.I will ship in 6 business dayI hope you enjoy my work.Thank you for your interest my art!Susie* Back to my shop: www.etsy.com/Shop/artbysusietiborcz            
        "
"18"," $999.00 USD","
                            MADE-TO-ORDER PAINTING - Original Contemporary Modern Abstract Painting by OsnatAs this is a MADE-TO-ORDER painting, it will be similar to the one you see here, that I have already sold. Time frame to create: 4-5 business days.Painting's name: ""The New Continent""Size: 60""x36""x1.5"" Deep Gallery CanvasMedium: Acrylic on gallery-wrapped stretched canvas""The New Continent"" is an abstract contemporary modern painting painted on a staples free sides canvas. It is ready to hang.My paintings are coated with varnish to protect the colors for extended time and to ensure durability and protection against changes in room temperature. A Certificate of Authenticity is always provided.All of my paintings are insured against any damage or loss. Pls. view my other paintings on Etsy:http://www.etsy.com/shop/osboxFeel free to contact me with any question.Osnat Tzadok            
        "
"19"," $339.00 USD","
                            Original large abstract canvas painting by JMJartstudio. This wall art measures 24 x 48 inches . This piece has shades of blue, gold, taupe, cream and gray . Since it is painted by me each piece I create is different and unique in its own way . I am proud to say all my paintings are Made in America, in my studio in New York each one is hand signed by me the artist.They are painted on high quality 3/4 inch stretched canvas with a Gallery wrapped edge. What is STRETCHED canvas ? Stretched canvas means the canvas has been stretched and secured on a wooden frame. GALLERY WRAPPED simply means the canvas has been secured and stapled on the back to give the canvas a nice finished edge. This is a great thing since you will not have to buy a frame for your painting, it can be hung up straight from the box.What will your piece look like when you take it from the box. It will be carefully wrapped in bubble wrap to ensure its safe arrival . Did I mention that all of my pieces are fully insured so there are no shipping worries. Ok back to the painting, once you remove the bubble wrap first thing you will notice is the beautiful protective finish. I want your piece to last for years and years, it also makes it easy to dust. You will see how this finish adds to the beauty of your painting, how the sheen plays off all the texture and movement this piece is made up of. Now if you look closer, you will see how all the colors are blended to create a rich marriage of light and dark  and how well they work together how the light will make the dark pop giving it interest from every angle. It will be love at first sight .Take a look to the bottom right hand corner here you will see my signature. I sign all my pieces along with the year I created them . On occasion a piece may only be signed on the back . You wonder why ? I do this because I like to leave my clients options. The versatility of hanging your piece vertical or horizontal .This way it can be easily displayed in different areas of your home.Alright now that you took your treasure from the box what do you do with it ? Its simple nothing special is needed just a couple little picture hangers and you are all set. Generally a painting can be hung up within 5 minutes. You might ask why I don't use wire on my pieces its plain and simple  over the years I have seen those little wires and hooks create damage. Damage that I'm not willing to risk on your painting. It also will leave you that hanging versatility I mentioned above.I think I have covered everything  but in case I didn't I would love to hear from you. If you have any questions send them along want to share your space, ask for a suggestion, I would be happy to see your room. Send me a photo I am always glad to help.This is my favorite part I'm going to ask a favor of you, if you would like to you to share a photo with me, of the painting hanging in your beautiful home. I would love to see it .This is one of my biggest enjoyments !! TITLE : SimplySIZE : 24"" X 48""MEDIUM : AcrylicSIGNED and DATED on the FrontYEAR CREATED 2016I was featured on the TODAY Show , my pieces hang in private and gallery collections around the world . If you would like to read more about me and my story you can find it hereIf you would like to learn more about me and my process you can read more here.            
        "
"20"," $500.00 USD","
                            Under the main photo from the right - click for zoom-------------------------------#2 Top Seller painting-------------------------------ABOUT THIS PAINTINGLife, giving, power, and elegance. This tree prides itself with all of these. This is a tree which is founded on the Art Nouveau style, continuous and wavy on a returning basis. It combines an abundance of strong and beautiful colors from nature, which create a gentle, elegant mixture in one’s eyes. A black and elegant spraying passes over, which balances the colorfulness of the painting, creates opposition on the white canvas and adds an additional dimension of undefined randomness combined with lack of control and and natural flow.DETAILS* Name: Tree of Life* Painter: Koby Feldmos* Size: 60"" 30"" (150 X 75 cm) * Original handmade oil painting on canvas* Shipping ""ready to hang"" (stretched) in rigid box* Style: Modern, Abstract* Certification of Authenticity attached * Express shipping 3-4 days worldwide* 30 Days full money refund accepted THIS PAINTING IS SOLDYour painting will be created very similar in same style, color and size. After you order, I will start to create your painting within 5-6 days. I will finish it within 9-10 days. Then, I will send you an image of the painting for your acceptance. You can cancel the order and get a full money refund at any time.CUSTOM ORDER www.etsy.com/conversations/new?with_id=42819107ENTER THE SHOPwww.etsy.com/shop/KobyFeldmos----------------------------------------------------REVIEWS ON THIS PAINTING * From Etsy reviews page----------------------------------------------------1) Reviewed by drummergirl4761 on February 6, 2016""I was beyond thrilled when I received this painting. The painting is spectacular, colors are more vibrant in person. It arrived in a very well packaged & protected box. Adds a beautiful energy to my living room."" 2) Reviewed by danazilber on January 31, 2016""Absolutely LOVE this painting!!!! It's beautiful, elegant, unique and stands out perfectly in our living room! Koby was so great to work with. Easy communication and shipment arrived in the promised timeframe. Two screws and it was up in no time! Will buy more from him in future for sure. Worth every penny!""3) Reviewed by Frank Pino on January 22, 2016""Stunning! You will not be disappointed!""4) Reviewed by 557alan on January 19, 2016""The item is amazing and arrived with no problem. The quality of work is fantastic and I would recommend anybody to Koby.""5)  Reviewed by Helen McNulty on December 27, 2015""We love our painting from Koby. It was packed really well to travel a long way and arrived safely. It is really beautiful and looks superb in our apartment. While it was being framed we were told that it could have been sold 3 or 4 times due to the enquiries and compliments it received from other customers. We would happily buy more paintings in the future. Thank you Koby!""6) Reviewed by Helen McNulty McNulty on December 27, 2015 ""We love our painting from Koby. It was packed really well to travel a long way and arrived safely. It is really beautiful and looks superb in our apartment. While it was being framed we were told that it could have been sold 3 or 4 times due to the enquiries and compliments it received from other customers. We would happily buy more paintings in the future. Thank you Koby!""* Photo from customer attached on reviews page7) Reviewed by Adam Novick on October 31, 2015""As stated in my other review, awesome work by Koby! Good communication. Would buy from again.""8) Reviewed by vildan2 on October 3, 2015""Absolutely beautiful painting! This is the second one we purchased from Koby and we have been extremely pleased with both of the paintings. Beautiful color, creativity, and quality. And he has been responsive and very easy to deal with.""9)  Reviewed by roddy van der lee on July 21, 2015""Excellent, even better in real life. Koby was a pleasure to deal with and very rapid responses to any queries, Can only highly recommend.""10) Reviewed by Lee W on September 16, 2014""Thank you, Koby, for such a fantastic piece! I love that it is a one of a kind painting. The painting arrived in a hard wearing plastic to protect it from being damaged. Koby was also great at keeping me informed on the status of the artwork. I will definitely be back to buy more pieces from Koby, and have no hesitations in recommending his work to you, wherever you may be!""            
        "
"21"," $318.00 USD","
                            Original Palette Knife Abstract Painting,Modern Textured Painting,Landscape Painting by Chen Size:24""x48""x1.2""[60x120x3cm]Stretched thickness: 1.2"" (3cm )Framed / Stretched ( Ready to hang! )The sides are staple-free and are painted black. It is ready to hang .Payment Details: we prefer paypal Do remember to leave your phone number in the note fieldShipment and Packing charge :  By EMS to world-wide Parcel will be shipped out within 1-3 working days upon receipt of payment, via International Registerred Postal Air Mail, delivery period around 7-15 working days. All items will be shipped by China EMS, UPS.DHLExpress delivery is only to US/UK/Canada/Australia, other countries will be subject to change with our email confirmation.Note: If you are in other countries, please contact us for the shipping fee before you bid.Special delivery in remote areas where transportation costs increase, will be announced!Return Policy 1.Lost Item: If item is not received due to shipping company or seller's fault (Seldom happens), buyer will get full refund (Item price + Shipping charge) or a replacement upon buyer's choice. 2.Damaged Item: If a damaged item is received due to reason of shipping process, weather, custom inspection etc., buyer should contact seller and provide evidence of damage (a note from the carrier stating the damage and digital photos) within 7 days after receiving the item. Please check the item carefully before you sign your name, be sure to reject the item if damages is obviously to the carton/tube. Buyer will be able to qualify a full refund (Item price + Shipping charge) or a replacement only if buyer follow the instructions above. Seller has the right to keep the damaged item if it's in repairable condition, or buyer can get partial refund if buyer choose to repair the item. If you have any questions, our customer service staff welcomes your e-mail inquiries. We strive to answer all questions and resolve any problems as soon as possible.   Your satisfaction is Guaranteed!!!Do not hesitate to contact us anytime before and after your purchase, we are committed to your 100% customer satisfaction. When you shop with us, your satisfaction is our #1 priority. Bid With Confidence!To view my other works of art click the link below:http://www.etsy.com/shop/xiangwuchen            
        "
