"","pprice","pdescrip"
"11","8.00","
                            Wear the mischievous Cheshire Cat in your ears! These two piece earrings create the illusion of the Cheshire Cat hanging through your ears. These started off as a sketch in my notebook, and were later digitized in adobe illustrator. They're printed on lightweight durable plastic and feature nickel free posts. Each pair measures about 1.25"" long and comes attached to a Kraft earring card and packaged in a Kraft gift box.Have metal allergies? I can upgrade your earrings to titanium posts for a small additional cost! Send me a message to set up a custom listingNo piercings? No problem! I can make magnetic versions of these as well! Message me to get a listing created!            
        "
"12","10.00","
                            Viking beard Runes beads. Price for 1 piece.On each of the beads contains all three rune - óðal, Tyr and SoweluInner diameter - 5.5 mm.Size: 11 х 8 mmWeight: approximately 2 gramsMaterial: sterling silver 925 or bronzeProduction technology – casting. Hand made.TIWAZ is a rune that is named after viking God of Týr (God of law and heroic glory). You can connect this rune with the warrior path, discipline, responsibility, self-sacrifice, duty, strength, the warrior path.Othala rune literally means homeland or ancestral lot. It is connected to the ancestral spiritual power.Othila is a rune of home and family, traditional values, of good luck and inheritance, safety, prosperity and freedom.Sol Rune is the sixteenth rune in the Elder Futhark. Sowelu is the rune of wholeness, the Sun's energy and life force. Sowelu represents the divine and facilitates the will to strive toward full knowledge of the Self. This is a powerful Runic Symbol depicting the Sun's energy, some believe that by wareing this rune the sun's energy is available to you.            
        "
"13"," $98.00 USD","
                            Tree bark wedding ring set. The wood grain pattern adorns both rings of the unique sterling silver wedding band ring set. Organic and completely random pattern makes each ring unique and one of a kind. The wider ring measures about 4mm wide and 2mm thick and the narrow ring measures about 2 mm wide and 2mm thick. This listing is for two rings. *** Orders are shipping 3 weeks from purchase *** Rush orders maybe possible. Please contact me for information.   The thinner ring can be purchased here:https://www.etsy.com/listing/154940852/wood-grain-ring-sterling-silver-ringAnd the wider ring can be purchased here:https://www.etsy.com/listing/154941328/mens-wedding-ring-tree-bark-ringThis set is also available in solid 14k gold here: https://www.etsy.com/listing/168782205/14k-gold-tree-bark-wedding-ring-setThese rings are made entirely from eco-friendly recycled sterling silver. See all my jewelry in my shop here:www.etsy.com/shop/PraxisJewelryJoin me on Facebook for secret sales and Facebook only discounts:www.facebook.com/PraxisJewelry            
        "
"14","29.99","
                            Wedding bracelet,Mother of the Bride Gift, Personalized Bridesmaids Gift, Mother of the Groom Gifts, Bridal Party Gift, Bridal Party Jewelry,  Please select the drop down menu on the right of the listing for all the priceItem will come with gift box , note card . Please specify which card you want , or this is the gift for who so i can include the appropriate card .-FOR BRIDESMAID GIFTS : on note to seller box at check out , please provide all the bridesmaid names so that i can include them on the cards ( sample cards as show ) . If you have different message that you would like to include on the cards , don't hesitate to let me know . I am happy to create the cards for you , no charge .This design is also available in gold , rose gold upon request .**** NECKLACE- pendant : Diameter 6mm , cubic zirconia , tarnish resistant-chain : very thick gauge chain , will not stretch or break easily ,white gold over brass .Chain is tarnish resistant , durable , long lasting , hypoallergenic and no allergy-available in 18k white gold , yellow gold and rose gold plated -chain is adjustable from 17 to 18 in**** EARRINGS :- halo circle posts 10mm-tear drop 15mm approximately- earrings are 32mm ( 1.25 approximately ) . Earrings are hypoallergenic , no , allergy, no nickel , safe for all -I can make earrings with clip on for non pierced upon request . Message me at check out , note to seller box for the clip on , I will make them for you -available in 18k white gold , yellow gold and rose gold plated *** BRACELET:-- pendant : Diameter 13 mm , cubic zirconia , tarnish resistant- cubic zirconia , tarnish resistant , bangle cuff style .This bracelet is made to fit all , adjustable to 8 in-available in 18k white gold , yellow gold and rose gold plated            
        "
"15"," $29.99 USD","
                            Show your FAVORITE RN / Registered Nurse / Nurse Practitioner how much you love them with this super cute bracelet! I'ts the perfect gift for your #1 Nurse!Includes:Silver plated metal alloy bangle ( 2.5 inch diameter )Swarovski birthstone charm (options in the photos)1/2 inch circle hand stamped with an initialRN charm (antiqued color)Syringe and vial charm (antiqued color)All charms are attached with split rings which are more secure than jump ringsAdd on an additional Swarovski birthstone charm:https://www.etsy.com/listing/262149405~*~Production time before your item ships is 3-5 business days & USPS first class mail takes 2-5 business days. If you need your item sooner, please use upgraded USPS shipping options as well as the 'Rush My Order - Processing Time' listing https://www.etsy.com/listing/248124716Keychain version: http://etsy.me/1D3Y2pnNecklace version: https://www.etsy.com/listing/250744320Nurse Humor: http://etsy.me/1J81QGP Each design and number is individually hammered one strike at a time by me. Variations in depth, spacing and alignment will result in a different necklace and a unique gift. This is not to be considered a defect but part of the beauty of the hand made jewelry.No returns on custom orders. Please read all shop policies before .ordering.All product photos are taken outside under natural lighting but please be aware actual product colors may vary due to your monitor/device.            
        "
"16"," $12.99 USD","
                            Message me with color name you would like.+++++++++++++++++++++++++++++++++++ I offer different colors  Baltic amber baby teething necklacesDescription.------------------Length :  12.6 -13 inches (32-33 cm)Screw closure, designed to break when under unusual tension.Polished  beads are smooth to the touch and have  rounded  like shape to them.Cotton string, individually knotted between every bead for safety.Baltic Amber and Teething.-------------------------------------Today, more than ever, parents are looking for natural ways to care for their infants children instead of reaching for over the counter or prescription drugs. Especially when it comes to teething, a perfectly natural event that marks various growth stages in infancy and childhood. As parents explore how to soothe and calm teething infants and children and give them comfort during these very uncomfortable times, they often turn to one of the oldest, most widely used, and complete natural solutions.....amber teething necklaces.For thousands of years, Baltic amber has been recognized for its incredible healing properties and analgesic pain relief. Completely non toxic, natural amber also supports the immune system which is especially important for infants and children when their young bodies are still in development.Amber Teething Necklaces and Bracelets.----------------------------------------------------------The main component of amber are succinic acid, which are mainly located in the surface layer of amber, and is an exceptionally powerful therapeutic tool of healing. So how does amber achieve its role as a primary natural solution to relieve teething pain in babies and toddlers? In order to fulfill its Baltic amber analgesic function, amber artisans designed amber teething jewelry that can be worn comfortably and safely on with respect to the baby's skin. When the skin warms the amber, it begins to exude its healing properties, providing not only pain, but a calming effect. The relief will last for a long period of time, so you can remove the necklace when your baby is sleeping or unattended. necklace with screw clasp and strung by hand with special nodes between each amber bead so if the necklace should break, the remaining beads will not scatter. So remember ... Your child will not have to endure the pain of teething and irritability that comes with it. At the first sign of teething, which often drooling, find a respected and reliable source for Baltic amber teething necklace., Then relax and let nature take its course.  Safety:----------Amber teething necklaces are made for wearing, not for chewing;Remove the Amber teething necklace when your baby is unattended, such as at nigh.Payment:--------------We accept payment through Pay Pal only.Item will be shipped to you within 1 business days after receiving payment.Money back guarantee within 7 days upon item's arrival to you.Delivery:-------------Orders are shipped via Latvian Postal Service as priority registered air mail with tracking number.Delivery takes approximately10- 14 days  - To US, Canada, Asia, Australia,  5   - 7 days - To EU countries.Other Baltic amber teething necklaces ( bracelets ):   http://www.etsy.com/shop/AmazingAmberLove?section_id=13950941            
        "
"17"," $16.90 USD","
                            Be Simple - Simple BeautyDelicate Heart Opal anklet  everyday style , decorated in a simple , suitable for everyone .Opal Anklet, Heart or Hamsa Opal anklet, Gold Bracelet, Foot Jewelry, Bridesmaid gift, Charm Anklet, Dainty Anklet, Gift For Her.Heart / Hamsa Opal 10mm am floating on a delicate chain 14K Gold filled or Sterling Silver 925..You can order any chain sizes , all available in stock.All the pieces come packaged in a gift box for free.My store :https://www.etsy.com/il-en/shop/BeSimpleJewelry?ref=profile_shopnameThank for your time.You are welcome to contact me with any further questions:)            
        "
"18"," $188.00 USD","
                            SALE was $219Timeless Wedding Band Ring. 14k Gold Classic Bridal Jewelry. 2mm Wide Stacking Ring. Unisex Ring. Minimalist band ring, entirely hand forged and soldered. Each ring has it's own unique form. Looks beautifully alone or stacked together with other rings.14k yellow solid goldWide about 2mm / 12 ga , round plain wire with hammered texture.Ring size  from US 3.75 Listing for ONE BAND RING.Please read Shop Policies BEFORE placing the order :https://www.etsy.com/il-en/your/shops/VenexiaJewelry/policiesCare for your jewelry : take a drop of dish washing liquid between your fingers and rub gently, rinse under cold water, dry with a soft cloth.Thank you,Dany            
        "
"19"," $12.50 USD","
                            These Druzys Rose gold necklaces are so pretty. The faux Druzy is approx 14x10mm. This is a Rose gold setting. The Druzy is resin and they have a really nice sparkle to them they come in white, silver, dark gray, pink, light green, Light blue,  black or dark blue. Comes on an 18"" Rose gold plated chain for a different length message me on purchase I'm happy to adjust. These have a great boho look they are set in a Rose gold oval setting. Makes a lovely bridal gift, Christmas gift, for your BFF or yourself or both. Comes in a jewelry box with a polishing cloth and gift card.I also have  Druzy earrings available to match these.♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥Enter my boutique here:http://www.SheilasAttic.etsy.com♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥            
        "
"20"," $29.90 USD","
                            ► Nose ring piercing, septum ring. Bohemian Jewelry India style. This septum ring is made with Sterling Silver 925 and White Strass inlay. Hypo Allergenic material for sensitive skin. ► Size: this septum ring is available in two sizes 16g (1.2mm) and 14g (1.5mm). The inner part of the ring is about 8.5mm (a little more than 5/16"").►►► Similar designs available ◄◄◄https://www.etsy.com/shop/RebelOcean?section_id=17366149&ref=shopsection_leftnav_4► This listing is for one septum ring.► All our pieces are packed in Gift Boxes. The perfect gift to yourself or the ones you Love!♥ Love it and want to buy later? Click on the heart to your right that says ""Add item to favorites.""♥ Want it now? Click the green ""Add to cart"" button.► Back to the SHOP: http://www.rebelocean.etsy.com/More Info: ► POLICIES: https://www.etsy.com/shop/RebelOcean/policy?ref=shopinfo_policies_leftnav► Lear more about us: https://www.etsy.com/shop/rebelocean/about?ref=shopinfo_about_leftnav► WHOLESALE: questions/inquiries? - Email us at rebeloceancontact[!at] gmail.comCopyright © 2014 REBEL OCEAN. All rights reserved.            
        "
